d [mm],Q [litres/s],T [C],h1 [m],h2 [m],V_avg [m/s],v [m^2/s],Re_D,f_e,f_c,h_e [m],h_c [m]
15.2,0.4505595703125,25.5,2.6678466796875,4.49560546875,2.48299109323389,8.956e-07,42140.98327060644,0.08841198647021724,0.09769749848664107,1.8277587890625,2.0197200476717185
15.2,0.4395703125,25.5,2.6678466796875,4.49560546875,2.422430334862332,8.956e-07,41113.15441034775,0.09288784328527197,0.09770920384312624,1.8277587890625,1.922628944544457
15.2,0.4395703125,25.5,2.6905517578125,4.472900390625,2.422430334862332,8.956e-07,41113.15441034775,0.09058007078129006,0.09770920384312624,1.7823486328125,1.922628944544457
15.2,0.4395703125,25.5,2.6905517578125,4.472900390625,2.422430334862332,8.956e-07,41113.15441034775,0.09058007078129006,0.09770920384312624,1.7823486328125,1.922628944544457
15.2,0.4395703125,25.5,2.6678466796875,4.472900390625,2.422430334862332,8.956e-07,41113.15441034775,0.09173395703328102,0.09770920384312624,1.8050537109375,1.922628944544457
15.2,0.35165625,25.5,1.9639892578125,3.1900634765625,1.9379442678898657,8.956e-07,32890.5235282782,0.09735915251173691,0.09782913965527143,1.22607421875,1.2319929136540273
15.2,0.35165625,25.5,1.9412841796875,3.1787109375,1.9379442678898657,8.956e-07,32890.5235282782,0.09826062614610484,0.09782913965527143,1.2374267578125,1.2319929136540273
15.2,0.3626455078125,25.5,1.9412841796875,3.1787109375,1.998505026261424,8.956e-07,33918.35238853689,0.09239566682608942,0.09781097271911898,1.2374267578125,1.3099522846468639
15.2,0.3626455078125,25.5,1.9412841796875,3.201416015625,1.998505026261424,8.956e-07,33918.35238853689,0.09409100016234795,0.09781097271911898,1.2601318359375,1.3099522846468639
15.2,0.3626455078125,25.5,1.9412841796875,3.201416015625,1.998505026261424,8.956e-07,33918.35238853689,0.09409100016234795,0.09781097271911898,1.2601318359375,1.3099522846468639
15.2,0.241763671875,25.5,1.1693115234375,1.7823486328125,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770518,0.09810142386809609,0.613037109375,0.583929870036866
15.2,0.241763671875,25.5,1.1806640625,1.793701171875,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770518,0.09810142386809609,0.613037109375,0.583929870036866
15.2,0.241763671875,25.5,1.1806640625,1.793701171875,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770518,0.09810142386809609,0.613037109375,0.583929870036866
15.2,0.241763671875,25.5,1.1693115234375,1.7823486328125,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770518,0.09810142386809609,0.613037109375,0.583929870036866
15.2,0.241763671875,25.5,1.1693115234375,1.7823486328125,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770518,0.09810142386809609,0.613037109375,0.583929870036866
